id	date_time	DBNS_PTH_T2	DBNS_PTH_T3
381400	2012-02-03 08:28:07	22.32	21.06
381600	2012-02-03 11:48:07	22.32	21.06
381800	2012-02-03 15:08:07	22.38	21.04
382000	2012-02-03 18:28:07	22.38	21.16
382200	2012-02-03 21:48:07	22.34	21.07
382400	2012-02-04 01:08:07	22.24	21.00
382600	2012-02-04 04:28:07	22.40	21.14
382800	2012-02-04 07:48:07	22.24	21.01
383000	2012-02-04 11:08:07	22.32	21.04
383200	2012-02-04 14:28:07	22.35	21.08
383400	2012-02-04 17:48:07	22.47	21.24
383600	2012-02-04 21:08:07	22.37	21.20
383800	2012-02-05 00:28:07	22.43	21.17
384000	2012-02-05 03:48:07	22.35	21.13
384200	2012-02-05 07:08:07	22.47	21.26
384400	2012-02-05 10:28:07	22.52	21.30
384600	2012-02-05 13:48:07	22.50	21.37
384800	2012-02-05 17:08:07	22.59	21.40
385000	2012-02-05 20:28:07	22.54	21.31
385200	2012-02-05 23:48:07	22.54	21.35
385400	2012-02-06 03:08:07	22.51	21.34
385600	2012-02-06 06:28:07	22.35	21.14
385800	2012-02-06 09:48:07	22.34	21.04
386000	2012-02-06 17:56:18	22.40	21.14
386200	2012-02-06 21:16:18	22.42	21.22
386400	2012-02-07 00:36:18	22.44	21.24
386600	2012-02-07 03:56:18	22.70	21.44
386800	2012-02-07 07:16:18	22.62	21.26
387000	2012-02-07 10:36:18	22.62	21.34
387200	2012-02-07 13:56:18	22.61	21.33
387400	2012-02-07 17:16:18	22.51	21.12
387600	2012-02-07 20:36:19	22.54	21.24
387800	2012-02-07 23:56:19	22.46	21.12
388000	2012-02-08 03:16:19	22.41	20.98
388200	2012-02-08 06:36:19	22.32	20.99
388400	2012-02-08 09:56:19	22.36	21.00
388600	2012-02-08 13:16:19	22.32	21.04
388800	2012-02-08 16:36:19	22.28	21.02
389000	2012-02-08 19:56:19	22.34	20.96
389200	2012-02-08 23:16:19	22.18	20.94
389400	2012-02-09 02:36:19	22.25	20.92
389600	2012-02-09 05:56:19	22.26	20.92
389800	2012-02-09 09:16:19	22.09	20.90
390000	2012-02-09 12:36:19	22.32	21.09
390200	2012-02-09 15:56:19	22.29	20.96
390400	2012-02-09 19:16:16	22.26	20.93
390600	2012-02-09 22:36:13	22.30	21.06
390800	2012-02-10 01:56:10	22.18	20.92
391000	2012-02-10 05:16:08	22.40	21.17
391200	2012-02-10 08:36:07	22.44	21.08
391400	2012-02-10 11:56:07	22.41	21.16
391600	2012-02-10 15:16:07	22.40	21.16
391800	2012-02-10 18:40:46	22.46	21.07
392000	2012-02-10 22:00:46	22.37	21.14
392200	2012-02-11 01:20:46	22.19	20.91
392400	2012-02-11 04:40:46	22.27	20.96
392600	2012-02-11 08:00:46	22.26	20.90
392800	2012-02-11 11:20:46	22.23	20.90
393000	2012-02-11 14:40:46	22.26	21.11
393200	2012-02-11 18:00:46	22.48	21.22
393400	2012-02-11 21:20:46	22.19	20.94
393600	2012-02-12 00:40:46	22.35	21.09
393800	2012-02-12 04:00:46	22.20	20.89
394000	2012-02-12 07:20:46	22.27	21.08
394200	2012-02-12 10:40:46	22.31	20.96
394400	2012-02-12 14:00:46	22.29	21.01
394600	2012-02-12 17:20:46	22.46	21.21
394800	2012-02-12 20:40:46	22.52	21.22
395000	2012-02-13 00:00:46	22.51	21.17
395200	2012-02-13 03:20:46	22.53	21.24
395400	2012-02-13 06:40:46	22.54	21.32
395600	2012-02-13 10:00:46	22.42	21.28
395800	2012-02-13 13:20:46	22.41	21.17
396000	2012-02-13 16:40:46	22.37	21.25
396200	2012-02-13 20:00:46	22.38	21.05
396400	2012-02-13 23:20:46	22.50	21.32
396600	2012-02-14 02:40:46	22.38	21.12
396800	2012-02-14 06:00:46	22.34	21.14
397000	2012-02-14 09:20:46	22.51	21.37
397200	2012-02-14 12:40:46	22.62	21.48
397400	2012-02-14 16:00:46	22.56	21.43
397600	2012-02-14 19:20:46	22.44	21.28
397800	2012-02-14 22:40:46	22.46	21.34
398000	2012-02-15 02:00:46	22.49	21.36
398200	2012-02-15 05:20:46	22.64	21.39
398400	2012-02-15 08:40:46	22.52	21.42
398600	2012-02-15 12:00:46	22.66	21.50
398800	2012-02-15 15:20:46	22.54	21.24
399000	2012-02-15 18:40:46	22.32	21.08
399200	2012-02-15 22:00:46	22.40	21.02
399400	2012-02-16 01:20:46	22.39	21.16
399600	2012-02-16 04:40:46	22.62	21.37
399800	2012-02-16 08:00:46	22.66	21.36
400000	2012-02-16 11:20:46	22.54	21.21
400200	2012-02-16 14:40:46	22.37	21.14
400400	2012-02-16 18:00:45	22.39	21.14
400600	2012-02-16 21:20:42	22.32	21.20
400800	2012-02-17 00:40:39	22.52	21.36
401000	2012-02-17 04:00:37	22.57	21.31
401200	2012-02-17 07:20:35	22.56	21.28
401400	2012-02-17 10:40:35	22.42	21.11
401600	2012-02-17 14:00:35	22.45	21.20
401800	2012-02-17 17:20:35	22.47	21.36
402000	2012-02-17 20:40:35	22.55	21.29
